     Protons     Neutrons     Experimental BE              Experimental Error            Theory BE                   Theory Error
           9          10  -147.79858700000000        9.9999999999999995E-007  -151.49042744825186        2.1139347698593396E-007
           9          11  -154.39992500000000        4.0000000000000003E-005  -159.78975961312241        2.7321344956051845E-007
           9          12  -162.50139799999999        1.8060000000000001E-003  -169.24501996879397        2.9123407824989713E-007
           9          13  -167.73173499999999        1.2408000000000001E-002  -175.44728227708910        4.4844366950669477E-007
           9          14  -175.31115700000001        3.3327000000000002E-002  -182.83454430945162        5.9432359731653104E-007
           9          15  -179.12321299999999        9.7680000000000003E-002  -187.28235729743753        8.1105831598380096E-007
           9          16  -183.40489500000001        9.6449999999999994E-002  -192.92929412646515        1.0190558589975300E-006
           9          17  -184.16148500000000       0.11120200000000000       -195.89570261521490        1.2656662288295598E-006
           9          18  -185.43140900000000       0.38982600000000001       -200.06395570211316        1.5042634037279823E-006
           9          19  -185.21142100000000       0.39303600000000000       -201.76792432107712        1.7667097979842856E-006
           9          20  -186.87414400000000       0.52536400000000005       -204.66816778328430        2.0208360603475111E-006
           9          21  -186.98724500000000       0.59999999999999998       -205.28678727251776        2.2906723427556701E-006
           9          22  -187.02024499999999       0.55800000000000005       -207.09026130005080        2.5517045440218628E-006
          10           5  -73.027376000000004        6.6689999999999999E-002  -82.382082143409932        1.2815362351246692E-006
          10           6  -97.327287999999996        2.0480000000000002E-002  -102.52973641296812        7.7326497174337015E-007
          10           7  -112.88493900000000        3.5700000000000000E-004  -118.08241457588683        4.3561321997681067E-007
          10           8  -132.13908200000000        3.6000000000000002E-004  -134.51576354724779        2.8476621385382409E-007
          10           9  -143.77597299999999        1.5200000000000001E-004  -146.90460064608456        2.2195855992834922E-007
          10          10  -160.64125600000000        9.9999999999999995E-007  -160.25800544986399        2.3967933121052829E-007
          10          11  -167.40242900000001        4.1999999999999998E-005  -170.01966015567265        2.1370252736880375E-007
          10          12  -177.76668599999999        2.1999999999999999E-005  -180.80950322559147        2.3104733152149881E-007
          10          13  -182.96734400000000        1.1500000000000000E-004  -188.37794024419367        2.6114024100620329E-007
          10          14  -191.83625599999999        5.0400000000000000E-004  -197.01767866076932        3.6986553314130062E-007
          10          15  -195.99143100000001        2.9049999999999999E-002  -202.74057202590393        5.1036774556029081E-007
          10          16  -201.54611600000001        1.8433999999999999E-002  -209.56096798345155        6.8780062423531840E-007
          10          17  -203.04763399999999        9.0773999999999994E-002  -213.71733219994064        8.8362816911409259E-007
          10          18  -206.87014400000001       0.12605600000000000       -218.98442856852091        1.0956444519353822E-006
          10          19  -207.84139900000000       0.14949499999999999       -221.79957742817629        1.3198412729363149E-006
          10          20  -211.03238600000000       0.25325999999999999       -225.72906683970734        1.5510805278679996E-006
          10          21  -211.20224600000000       0.26619700000000002       -227.38641944330323        1.7906960474624715E-006
          10          22  -213.46845600000000       0.51200000000000001       -230.15472137620102        2.0323073796371418E-006
          10          23  -212.51645600000001       0.59399999999999997       -230.80488545277922        2.2796786689381903E-006
          10          24  -213.75445600000000       0.51000000000000001       -232.55758961213468        2.5259405899586084E-006
          11           6  -93.428909000000004        1.0013510000000001       -101.02146199409776        1.0686905477156119E-006
          11           7  -111.63545499999999        9.3887999999999999E-002  -118.29037367104638        6.7570376191320584E-007
          11           8  -131.81536399999999        1.0526000000000001E-002  -136.27929158877760        3.8449848055241660E-007
          11           9  -145.96546900000001        1.1199999999999999E-003  -150.27268936767697        2.9984460048326324E-007
          11          10  -163.07203600000000        1.0500000000000000E-004  -165.09148001598274        2.2383755783343085E-007
          11          11  -174.14022299999999        1.7600000000000000E-004  -176.35318624857658        2.6758702298117726E-007
          11          12  -186.55988800000000        9.9999999999999995E-007  -188.52009840323166        2.1619631419592556E-007
          11          13  -193.51926100000000        2.4000000000000001E-005  -197.48994095355388        2.5436644017736915E-007
          11          14  -202.53047400000000        1.1999999999999999E-003  -207.42145229654867        2.3916870666264352E-007
          11          15  -208.10477499999999        3.5100000000000001E-003  -214.45328463865894        3.4706923210891607E-007
          11          16  -214.83309100000000        3.7260000000000001E-003  -222.48441307890815        4.4138172972792855E-007
          11          17  -218.37494100000001        1.0248000000000000E-002  -227.86376688226852        6.1056329029737670E-007
          11          18  -222.77792800000000        7.3369999999999998E-003  -234.26557086555513        7.6981219200090653E-007
          11          19  -225.05458899999999        4.7400000000000003E-003  -238.22433909931206        9.7038095610375752E-007
          11          20  -229.35453600000000        1.3981000000000000E-002  -243.21783841502528        1.1630620282537419E-006
          11          21  -231.03174100000001        3.7248000000000003E-002  -245.94583544633767        1.3817873218726838E-006
          11          22  -233.96310700000001       0.44992199999999999       -249.71277409540332        1.5932286748094496E-006
          11          23  -234.13440700000001       0.59941999999999995       -251.36665980773330        1.8224392192353131E-006
          11          24  -235.65054900000001       0.66500000000000004       -254.05775622274234        2.0443392195667668E-006
          11          25  -235.65154899999999       0.68400000000000005       -254.76789097876843        2.2789155787877507E-006
          11          26  -236.49954900000000       0.70299999999999996       -256.50916435438756        2.5059853260368363E-006
          12           7  -112.13299400000000        5.0007999999999997E-002  -119.61450027633100        9.0967695498707258E-007
          12           8  -134.55501899999999        1.8600000000000001E-003  -139.00794978826872        5.7005401957530046E-007
          12           9  -149.20017000000001        7.5600000000000005E-004  -154.46047954972428        3.4684151887463145E-007
          12          10  -168.57526100000001        3.0800000000000001E-004  -170.61956838534059        2.5871901029229337E-007
          12          11  -181.72016400000001        1.6100000000000001E-004  -183.26101878656564        2.2576795798986247E-007
          12          12  -198.25153499999999        2.4000000000000001E-005  -196.70079054729635        2.3856195440626472E-007
          12          13  -205.58206899999999        5.0000000000000002E-005  -206.97193493839936        2.1884111524748787E-007
          12          14  -216.67513900000000        2.5999999999999998E-005  -218.10807797457224        2.2044576192838082E-007
          12          15  -223.11852300000001        5.3999999999999998E-005  -226.36519833901568        2.2356288071798808E-007
          12          16  -231.62208300000000        1.9880000000000002E-003  -235.53396504367129        2.8729404792589525E-007
          12          17  -235.27737700000000        1.1396999999999999E-002  -242.06614809542077        3.8424277384196526E-007
          12          18  -241.62969899999999        3.4499999999999999E-003  -249.54117279808608        5.1869878317284484E-007
          12          19  -243.93934700000000        3.0690000000000001E-003  -254.58451821521703        6.7304181097078192E-007
          12          20  -249.71739900000000        3.2640000000000000E-003  -260.59016568467320        8.4410611437274769E-007
          12          21  -251.99753400000000        2.9039999999999999E-003  -264.33896980382769        1.0283301027922758E-006
          12          22  -256.70777900000002        2.8865999999999999E-002  -269.06069354098207        1.2204930429781384E-006
          12          23  -257.46267399999999       0.26967500000000000       -271.67611825490764        1.4221520256418867E-006
          12          24  -260.79360300000002       0.69022799999999995       -275.26844638668064        1.6270616703903839E-006
          12          25  -261.03362600000003       0.69893000000000005       -276.88521592462695        1.8389869919856029E-006
          12          26  -263.25851899999998       0.49399999999999999       -279.47791412302576        2.0512532107653007E-006
          12          27  -263.12751900000001       0.50700000000000001       -280.20950051480827        2.2687351451496172E-006
          12          28  -265.11451899999997       0.52000000000000002       -281.91235030586296        2.4846199078454310E-006
          13           8  -132.33536400000000       0.58799999999999997       -138.12665875689726        7.8740728575141080E-007
          13           9  -149.19736399999999       0.39600000000000002       -155.06741259658727        5.2243028511720789E-007
          13          10  -168.71508499999999        3.4499999999999998E-004  -172.60070139419560        3.1870806121554059E-007
          13          11  -183.58333200000001        2.4000000000000001E-004  -186.64858107049164        2.7999745731578077E-007
          13          12  -200.52176399999999        7.4999999999999993E-005  -201.39201995145604        2.2773219196696063E-007
          13          13  -211.88725400000001        7.7999999999999999E-005  -212.98992259745629        2.6505198578005637E-007
          13          14  -224.94529499999999        5.3999999999999998E-005  -225.35968798026326        2.2162497846290668E-007
          13          15  -232.67039600000001        8.3999999999999995E-005  -234.86699727137784        2.4617171479067996E-007
          13          16  -242.09881999999999        3.4800000000000000E-004  -245.20130911777326        2.1300833618304567E-007
          13          17  -247.82720399999999        2.8800000000000002E-003  -252.91099918927526        2.8341401567953877E-007
          13          18  -254.98439099999999        2.2320000000000000E-003  -261.48645884387832        3.3678330927346979E-007
          13          19  -259.20437199999998        7.1679999999999999E-003  -267.63896564427927        4.6913766541498476E-007
          13          20  -264.67369200000002        6.9959999999999996E-003  -274.68347257805226        5.8999298052431997E-007
          13          21  -267.24791599999998        3.0599999999999998E-003  -279.47759285952435        7.5506817173151960E-007
          13          22  -272.54270400000001        7.3499999999999998E-003  -285.18038665045873        9.1146469949923723E-007
          13          23  -274.43990400000001       0.14950800000000000       -288.78174736743489        1.0956798157233451E-006
          13          24  -278.65201900000000       0.18022700000000000       -293.30118217366055        1.2726820891819451E-006
          13          25  -280.32305000000002       0.37445200000000001       -295.84881121346660        1.4689101542578066E-006
          13          26  -283.95236399999999       0.39000000000000001       -299.31838606104611        1.6584377244213952E-006
          13          27  -285.07336400000003       0.40000000000000002       -300.92982543623145        1.8619886060385735E-006
          13          28  -287.32136400000002       0.49199999999999999       -303.46288466048770        2.0589368909988916E-006
          13          29  -288.70136400000001       0.58799999999999997       -304.23819099537400        2.2664616068947472E-006
          13          30  -289.85636399999999       0.81699999999999995       -305.93161170989276        2.4673362733992200E-006
          14           8  -133.26807700000001       0.50600000000000001       -138.23795592161292        1.0393121851217214E-006
          14           9  -150.98707700000000       0.50600000000000001       -156.53914622612155        6.9124547488727045E-007
          14          10  -172.00564499999999        1.9463999999999999E-002  -175.33495889464481        4.4981044031196799E-007
          14          11  -186.99482699999999        1.0000000000000000E-002  -190.68170733571870        2.9750762468427708E-007
          14          12  -206.03448499999999        1.0399999999999999E-004  -206.63424390104620        2.4590033863637401E-007
          14          13  -219.34928400000001        1.0800000000000000E-004  -219.46788200265084        2.2973361520689501E-007
          14          14  -236.52890900000000        9.9999999999999995E-007  -232.99088934673952        2.3958428066830105E-007
          14          15  -245.00249199999999        9.9999999999999995E-007  -243.67105393261255        2.2454226221842483E-007
          14          16  -255.61169699999999        3.0000000000000001E-005  -255.10238701963385        2.1827628187491812E-007
          14          17  -262.19909799999999        3.1000000000000001E-005  -263.92366030100931        2.0646892630114231E-007
          14          18  -271.39905299999998        2.8800000000000001E-004  -273.54098177208408        2.3619045649737072E-007
          14          19  -275.90702399999998        6.9300000000000004E-004  -280.74628241807704        2.9748689943596921E-007
          14          20  -283.42087099999998        1.4109999999999999E-002  -288.77945571571678        3.9689816112491085E-007
          14          21  -285.92678200000000        3.5839999999999997E-002  -294.57056140939568        5.1820997098323969E-007
          14          22  -292.04276099999998        7.1784000000000001E-002  -301.21131216581807        6.5679182821459093E-007
          14          23  -294.24948799999999       0.11381200000000000       -305.75706310148843        8.0929127709863301E-007
          14          24  -299.91957900000000       0.10480399999999999       -311.16649254811222        9.7013905441072801E-007
          14          25  -301.50025799999997       0.13552500000000001       -314.60918493643339        1.1411205676404218E-006
          14          26  -306.46223700000002       0.34511999999999998       -318.92362766442523        1.3160013164553256E-006
          14          27  -307.84357000000000       0.55468899999999999       -321.38401411357148        1.4986247298494338E-006
          14          28  -311.54807699999998       0.50400000000000000       -324.71962817655395        1.6824427091218112E-006
          14          29  -312.98907700000001       0.60199999999999998       -326.30084996556570        1.8722808751070637E-006
